donation_number,donor,legislator,amount,releasedate
1,"Ohio State University",N00003535,225632,"2019-10-16 00:00:00 +0000"
2,"League of Conservation Voters",N00003535,199624,"2019-10-16 00:00:00 +0000"
3,JStreetPAC,N00003535,178372,"2019-10-16 00:00:00 +0000"
4,"Votesane PAC",N00003535,117526,"2019-10-16 00:00:00 +0000"
5,"Cleveland Clinic",N00003535,101224,"2019-10-16 00:00:00 +0000"
6,"Case Western Reserve University",N00003535,99356,"2019-10-16 00:00:00 +0000"
7,"Baker & Hostetler",N00003535,61209,"2019-10-16 00:00:00 +0000"
8,"Thompson Hine Llp",N00003535,60492,"2019-10-16 00:00:00 +0000"
9,"Jones Day",N00003535,60259,"2019-10-16 00:00:00 +0000"
10,"Kohrman, Jackson & Krantz",N00003535,54268,"2019-10-16 00:00:00 +0000"
11,"Oberlin College",N00003535,54124,"2019-10-16 00:00:00 +0000"
12,"University of Cincinnati",N00003535,46968,"2019-10-16 00:00:00 +0000"
13,"Squire Patton Boggs",N00003535,43152,"2019-10-16 00:00:00 +0000"
14,"Vorys, Sater et al",N00003535,43061,"2019-10-16 00:00:00 +0000"
15,"Procter & Gamble",N00003535,42463,"2019-10-16 00:00:00 +0000"
16,Nationwide,N00003535,41945,"2019-10-16 00:00:00 +0000"
17,"Nationwide Children's Hospital",N00003535,40514,"2019-10-16 00:00:00 +0000"
18,"Sony Pictures Entertainment",N00003535,39063,"2019-10-16 00:00:00 +0000"
19,"Prudential Financial",N00003535,38920,"2019-10-16 00:00:00 +0000"
20,"Cincinnati Children's Hospital Medical Center",N00003535,38509,"2019-10-16 00:00:00 +0000"
21,"Morgan & Morgan",N00007836,113400,"2019-10-16 00:00:00 +0000"
22,"Microsoft Corp",N00007836,109316,"2019-10-16 00:00:00 +0000"
23,"League of Conservation Voters",N00007836,105973,"2019-10-16 00:00:00 +0000"
24,"Boeing Co",N00007836,61558,"2019-10-16 00:00:00 +0000"
25,Amazon.com,N00007836,61506,"2019-10-16 00:00:00 +0000"
26,"University of Washington",N00007836,60489,"2019-10-16 00:00:00 +0000"
27,"EMILY's List",N00007836,45756,"2019-10-16 00:00:00 +0000"
28,"Democracy Engine",N00007836,41800,"2019-10-16 00:00:00 +0000"
29,"Zillow Inc",N00007836,40130,"2019-10-16 00:00:00 +0000"
30,"K&L Gates",N00007836,27495,"2019-10-16 00:00:00 +0000"
31,"Fisher Investments",N00007836,25400,"2019-10-16 00:00:00 +0000"
32,"Fedex Corp",N00007836,24479,"2019-10-16 00:00:00 +0000"
33,"State of Washington",N00007836,24414,"2019-10-16 00:00:00 +0000"
34,"Valve Corp",N00007836,21950,"2019-10-16 00:00:00 +0000"
35,"Orrick, Herrington & Sutcliffe",N00007836,21700,"2019-10-16 00:00:00 +0000"
36,"Novogradac & Co",N00007836,21200,"2019-10-16 00:00:00 +0000"
37,"Costco Wholesale",N00007836,19105,"2019-10-16 00:00:00 +0000"
38,"Womencount PAC",N00007836,19030,"2019-10-16 00:00:00 +0000"
39,"Strategies 360",N00007836,18700,"2019-10-16 00:00:00 +0000"
40,"Intellectual Ventures LLC",N00007836,18435,"2019-10-16 00:00:00 +0000"
41,NorPAC,N00001955,47200,"2019-10-16 00:00:00 +0000"
42,"Lockheed Martin",N00001955,33700,"2019-10-16 00:00:00 +0000"
43,"Delaware Valley Urology",N00001955,22250,"2019-10-16 00:00:00 +0000"
44,"Guardian Life Insurance",N00001955,22250,"2019-10-16 00:00:00 +0000"
45,"Select Medical Corp",N00001955,20000,"2019-10-16 00:00:00 +0000"
46,"Pakistani American Public Affairs Cmte",N00001955,19500,"2019-10-16 00:00:00 +0000"
47,"Brownstein, Hyatt et al",N00001955,19100,"2019-10-16 00:00:00 +0000"
48,"Apollo Management",N00001955,18200,"2019-10-16 00:00:00 +0000"
49,"CareFirst Blue Cross/Blue Shield",N00001955,17775,"2019-10-16 00:00:00 +0000"
50,"Discovery Inc",N00001955,17200,"2019-10-16 00:00:00 +0000"
51,"Marriott International",N00001955,15000,"2019-10-16 00:00:00 +0000"
52,"Kidney Care Partners",N00001955,14000,"2019-10-16 00:00:00 +0000"
53,"Michael Companies",N00001955,14000,"2019-10-16 00:00:00 +0000"
54,"HBJ Investments",N00001955,13500,"2019-10-16 00:00:00 +0000"
55,"American Orthotic & Prosthetic Assn",N00001955,12874,"2019-10-16 00:00:00 +0000"
56,"National Assn of Real Estate Investment Trusts",N00001955,12200,"2019-10-16 00:00:00 +0000"
57,TransAmerica,N00001955,12200,"2019-10-16 00:00:00 +0000"
58,"Covington & Burling",N00001955,11800,"2019-10-16 00:00:00 +0000"
59,"Laureate Education",N00001955,11550,"2019-10-16 00:00:00 +0000"
60,"Buchanan, Ingersoll & Rooney",N00001955,11500,"2019-10-16 00:00:00 +0000"
61,"MetLife Inc",N00012508,59200,"2019-10-16 00:00:00 +0000"
62,"Democracy Engine",N00012508,49249,"2019-10-16 00:00:00 +0000"
63,DowDuPont,N00012508,32400,"2019-10-16 00:00:00 +0000"
64,"Goldman Sachs",N00012508,28725,"2019-10-16 00:00:00 +0000"
65,"Discover Financial Services",N00012508,27180,"2019-10-16 00:00:00 +0000"
66,"Hallmark Cards",N00012508,24500,"2019-10-16 00:00:00 +0000"
67,"Merck & Co",N00012508,23155,"2019-10-16 00:00:00 +0000"
68,"JPMorgan Chase & Co",N00012508,21375,"2019-10-16 00:00:00 +0000"
69,"Welsh, Carson et al                     ",N00012508,19600,"2019-10-16 00:00:00 +0000"
70,"Kleiner, Perkins et al",N00012508,18900,"2019-10-16 00:00:00 +0000"
71,"Bowles & Co",N00012508,18300,"2019-10-16 00:00:00 +0000"
72,"Amgen Inc",N00012508,17900,"2019-10-16 00:00:00 +0000"
73,"eHealth Inc",N00012508,16200,"2019-10-16 00:00:00 +0000"
74,"Young, Conaway et al",N00012508,15750,"2019-10-16 00:00:00 +0000"
75,"League of Conservation Voters",N00012508,15400,"2019-10-16 00:00:00 +0000"
76,"Akin, Gump et al",N00012508,15000,"2019-10-16 00:00:00 +0000"
77,"New York Life Insurance",N00012508,15000,"2019-10-16 00:00:00 +0000"
78,"Visa Inc",N00012508,15000,"2019-10-16 00:00:00 +0000"
79,"Wells Fargo",N00012508,14270,"2019-10-16 00:00:00 +0000"
80,"Pfizer Inc",N00012508,14000,"2019-10-16 00:00:00 +0000"
81,"University of Pennsylvania",N00027503,181169,"2019-10-16 00:00:00 +0000"
82,"Blank Rome LLP",N00027503,168701,"2019-10-16 00:00:00 +0000"
83,"University of Pittsburgh Medical Center",N00027503,134684,"2019-10-16 00:00:00 +0000"
84,"Kessler, Topaz et al",N00027503,134552,"2019-10-16 00:00:00 +0000"
85,"Comcast Corp",N00027503,121643,"2019-10-16 00:00:00 +0000"
86,"Air Products & Chemicals Inc",N00027503,118035,"2019-10-16 00:00:00 +0000"
87,"Exelon Corp",N00027503,117871,"2019-10-16 00:00:00 +0000"
88,"University of Pittsburgh",N00027503,110784,"2019-10-16 00:00:00 +0000"
89,"Reed Smith LLP",N00027503,99935,"2019-10-16 00:00:00 +0000"
90,"Buchanan, Ingersoll & Rooney",N00027503,85947,"2019-10-16 00:00:00 +0000"
91,"Pride Mobility Products",N00027503,78450,"2019-10-16 00:00:00 +0000"
92,"League of Conservation Voters",N00027503,75269,"2019-10-16 00:00:00 +0000"
93,"Merck & Co",N00027503,75105,"2019-10-16 00:00:00 +0000"
