bioguide,id,first_name,last_name,birthday,gender,religion,address,district,party,phone,state,leg_type,url,latitude,longitude,age
B000944,N00003535,Sherrod,Brown,1952-11-09,M,Lutheran,"713 Hart Senate Office Building Washington DC 20510",13.0,Democrat,202-224-2315,OH,sen,https://www.brown.senate.gov,40.4172871,-82.907123,66
C000127,N00007836,Maria,Cantwell,1958-10-13,F,"Roman Catholic","511 Hart Senate Office Building Washington DC 20510",1.0,Democrat,202-224-3441,WA,sen,https://www.cantwell.senate.gov,47.7510741,-120.7401385,61
C000141,N00001955,Benjamin,Cardin,1943-10-05,M,Jewish,"509 Hart Senate Office Building Washington DC 20510",3.0,Democrat,202-224-4524,MD,sen,https://www.cardin.senate.gov,39.0457549,-76.6412712,76
C000174,N00012508,Thomas,Carper,1947-01-23,M,Presbyterian,"513 Hart Senate Office Building Washington DC 20510",0.0,Democrat,202-224-2441,DE,sen,http://www.carper.senate.gov/public,38.9108325,-75.5276699,72
C001070,N00027503,Robert,Casey,1960-04-13,M,,"393 Russell Senate Office Building Washington DC 20510",,Democrat,202-224-6324,PA,sen,https://www.casey.senate.gov,41.2033216,-77.1945247,59
C001071,N00027441,Bob,Corker,1952-08-24,M,,"425 Dirksen Senate Office Building Washington DC 20510",,Republican,202-224-3344,TN,sen,http://www.corker.senate.gov,35.5174913,-86.5804473,67
F000062,N00007364,Dianne,Feinstein,1933-06-22,F,Jewish,"331 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-3841,CA,sen,http://www.feinstein.senate.gov,36.778261,-119.4179324,86
H000338,N00009869,Orrin,Hatch,1934-03-22,M,"Latter Day Saints","104 Hart Senate Office Building Washington DC 20510",,Republican,202-224-5251,UT,sen,http://www.hatch.senate.gov,39.3209801,-111.0937311,85
K000367,N00027500,Amy,Klobuchar,1960-05-25,F,,"302 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-3244,MN,sen,http://www.klobuchar.senate.gov,46.729553,-94.6858998,59
M001170,N00027694,Claire,McCaskill,1953-07-24,F,,"730 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-6154,MO,sen,https://www.mccaskill.senate.gov,37.9642529,-91.8318334,66
M000639,N00000699,Robert,"Menéndez",1954-01-01,M,"Roman Catholic","528 Hart Senate Office Building Washington DC 20510",13.0,Democrat,202-224-4744,NJ,sen,https://www.menendez.senate.gov,40.0583238,-74.4056612,65
N000032,N00009926,Bill,Nelson,1942-09-29,M,Presbyterian,"716 Hart Senate Office Building Washington DC 20510",11.0,Democrat,202-224-5274,FL,sen,https://www.billnelson.senate.gov,27.6648274,-81.5157535,77
S000033,N00000528,Bernard,Sanders,1941-09-08,M,Jewish,"332 Dirksen Senate Office Building Washington DC 20510",0.0,Independent,202-224-5141,VT,sen,http://www.sanders.senate.gov,44.5588028,-72.5778415,78
S000770,N00004118,Debbie,Stabenow,1950-04-29,F,"United Methodist","731 Hart Senate Office Building Washington DC 20510",8.0,Democrat,202-224-4822,MI,sen,http://www.stabenow.senate.gov,44.3148443,-85.6023643,69
T000464,N00027605,Jon,Tester,1956-08-21,M,,"311 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-2644,MT,sen,http://www.tester.senate.gov,46.8796822,-110.3625658,63
W000802,N00027533,Sheldon,Whitehouse,1955-10-20,M,,"530 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-2921,RI,sen,https://www.whitehouse.senate.gov,41.5800945,-71.4774291,64
B001261,N00006236,John,Barrasso,1952-07-21,M,,"307 Dirksen Senate Office Building Washington DC 20510",,Republican,202-224-6441,WY,sen,http://www.barrasso.senate.gov,43.0759678,-107.2902839,67
W000437,N00003280,Roger,Wicker,1951-07-05,M,"Southern Baptist","555 Dirksen Senate Office Building Washington DC 20510",1.0,Republican,202-224-6253,MS,sen,http://www.wicker.senate.gov,32.3546679,-89.3985283,68
A000360,N00009888,Lamar,Alexander,1940-07-03,M,Presbyterian,"455 Dirksen Senate Office Building Washington DC 20510",,Republican,202-224-4944,TN,sen,https://www.alexander.senate.gov/public/index.cfm/home,35.5174913,-86.5804473,79
C000567,N00003328,Thad,Cochran,1937-12-07,M,Baptist,"113 Dirksen Senate Office Building Washington DC 20510",4.0,Republican,202-224-5054,MS,sen,http://www.cochran.senate.gov,32.3546679,-89.3985283,81
C001035,N00000491,Susan,Collins,1952-12-07,F,Catholic,"413 Dirksen Senate Office Building Washington DC 20510",,Republican,202-224-2523,ME,sen,https://www.collins.senate.gov,45.253783,-69.4454689,66
C001056,N00024852,John,Cornyn,1952-02-02,M,"Church of Christ","517 Hart Senate Office Building Washington DC 20510",,Republican,202-224-2934,TX,sen,https://www.cornyn.senate.gov,31.9685988,-99.9018131,67
D000563,N00004981,Richard,Durbin,1944-11-21,M,"Roman Catholic","711 Hart Senate Office Building Washington DC 20510",20.0,Democrat,202-224-2152,IL,sen,http://www.durbin.senate.gov,40.6331249,-89.3985283,74
E000285,N00006249,Michael,Enzi,1944-02-01,M,Presbyterian,"379A Russell Senate Office Building Washington DC 20510",,Republican,202-224-3424,WY,sen,http://www.enzi.senate.gov,43.0759678,-107.2902839,75
G000359,N00009975,Lindsey,Graham,1955-07-09,M,"Southern Baptist","290 Russell Senate Office Building Washington DC 20510",3.0,Republican,202-224-5972,SC,sen,http://www.lgraham.senate.gov/public,33.836081,-81.1637245,64
I000024,N00005582,James,Inhofe,1934-11-17,M,Presbyterian,"205 Russell Senate Office Building Washington DC 20510",1.0,Republican,202-224-4721,OK,sen,http://www.inhofe.senate.gov,35.0077519,-97.092877,84
M000355,N00003389,Mitch,McConnell,1942-02-20,M,Baptist,"317 Russell Senate Office Building Washington DC 20510",,Republican,202-224-2541,KY,sen,http://www.mcconnell.senate.gov,37.8393332,-84.2700179,77
M001176,N00029303,Jeff,Merkley,1956-10-24,M,,"313 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-3753,OR,sen,https://www.merkley.senate.gov,43.8041334,-120.5542012,63
R000122,N00000362,John,Reed,1949-11-12,M,"Roman Catholic","728 Hart Senate Office Building Washington DC 20510",2.0,Democrat,202-224-4642,RI,sen,https://www.reed.senate.gov,41.5800945,-71.4774291,69
R000584,N00029441,James,Risch,1943-05-03,M,,"483 Russell Senate Office Building Washington DC 20510",,Republican,202-224-2752,ID,sen,http://www.risch.senate.gov,44.0682019,-114.7420408,76
R000307,N00005285,Pat,Roberts,1936-04-20,M,Methodist,"109 Hart Senate Office Building Washington DC 20510",1.0,Republican,202-224-4774,KS,sen,http://www.roberts.senate.gov,39.011902,-98.4842465,83
S001141,N00003062,Jefferson,Sessions,1946-12-24,M,Methodist,"326 Russell Senate Office Building Washington DC 20510",,Republican,202-224-4124,AL,sen,http://www.sessions.senate.gov/public,32.3182314,-86.902298,72
S001181,N00024790,Jeanne,Shaheen,1947-01-28,F,,"506 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-2841,NH,sen,https://www.shaheen.senate.gov,43.1938516,-71.5723953,72
U000039,N00006561,Tom,Udall,1948-05-18,M,"Latter Day Saints","531 Hart Senate Office Building Washington DC 20510",3.0,Democrat,202-224-6621,NM,sen,http://www.tomudall.senate.gov,34.5199402,-105.8700901,71
W000805,N00002097,Mark,Warner,1954-12-15,M,,"475 Russell Senate Office Building Washington DC 20510",,Democrat,202-224-2023,VA,sen,http://www.warner.senate.gov,37.4315734,-78.6568942,64
G000555,N00027658,Kirsten,Gillibrand,1966-12-09,F,,"478 Russell Senate Office Building Washington DC 20510",20.0,Democrat,202-224-4451,NY,sen,https://www.gillibrand.senate.gov,40.7127753,-74.0059728,52
F000457,N00029016,Alan,Franken,1951-05-21,M,,"309 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-5641,MN,sen,https://www.franken.senate.gov,46.729553,-94.6858998,68
C001088,N00031820,Chris,Coons,1963-09-09,M,,"127A Russell Senate Office Building Washington DC 20510",,Democrat,202-224-5042,DE,sen,https://www.coons.senate.gov,38.9108325,-75.5276699,56
M001183,N00032838,Joe,Manchin,1947-08-24,M,,"306 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-3954,WV,sen,http://www.manchin.senate.gov/public,38.5976262,-80.4549026,72
A000055,N00003028,Robert,Aderholt,1965-07-22,M,Protestant,"235 Cannon HOB; Washington DC 20515-0104",4.0,Republican,202-225-4876,AL,rep,https://aderholt.house.gov,33.9472594,-87.3810727,54
