name,total,count
"Votesane PAC",3903651,41
"Club for Growth",2509417,18
"League of Conservation Voters",2427994,25
"EMILY's List",2243889,13
JStreetPAC,1803085,32
"Goldman Sachs",1800130,57
"Blackstone Group",1636487,55
NorPAC,1387526,33
"Democracy Engine",1179399,20
"Comcast Corp",1172507,79
"Paul, Weiss et al",1145165,19
"Google Inc",1126795,36
"Home Depot",898093,77
"Lockheed Martin",881049,60
"Akin, Gump et al",815641,37
"Elliott Management",782300,27
"Senate Conservatives Fund",750797,6
"Northrop Grumman",750760,82
"Microsoft Corp",702895,23
"Simmons Hanly Conroy",692575,6
"Issa for Congress",645000,1
"Ernst & Young",632768,58
"House Freedom Fund",621696,20
"Sullivan & Cromwell",612171,13
"Boeing Co",609795,44
"National Republican Senatorial Cmte",606614,13
"AT&T Inc",588059,77
"Delta Air Lines",553815,30
"Capital Group",549375,14
"Deloitte LLP",540065,54
"BNSF Railway",540029,33
"NextEra Energy",519300,22
"MetLife Inc",517851,18
"General Dynamics",515210,36
"Honeywell International",511855,81
"Quicken Loans",492545,30
"Raytheon Co",489512,54
"Majority Cmte PAC",475000,49
"Koch Industries",471500,45
"Brownstein, Hyatt et al",469573,19
"American Bankers Assn",451700,72
"General Atomics",439075,26
Amazon.com,437104,32
"Womencount PAC",433009,8
"Charter Communications",423307,38
"Washington University in St Louis",418327,1
"DISH Network",407055,18
"New York Life Insurance",406078,36
"Machinists/Aerospace Workers Union",405000,71
"JPMorgan Chase & Co",403358,18
"Capital Group Companies",399757,20
PricewaterhouseCoopers,393889,45
"Harris Corp",389835,26
"United Parcel Service",388351,42
"American Crystal Sugar",386000,63
"DaVita Inc",385652,13
"National Assn of Broadcasters",385300,33
"Citigroup Inc",380953,15
"Motley Rice LLC",379702,9
"General Electric",375846,19
"Exelon Corp",372373,21
"National Air Traffic Controllers Assn",363250,59
"Bernard Marcus Family Foundation",350660,38
"Laborers Union",347525,67
"Eli Lilly & Co",347196,13
"American Assn for Justice",344500,75
"Amgen Inc",342334,17
"L3 Technologies",339085,38
"Democratic Senatorial Campaign Cmte",335875,7
"UBS Americas",332226,41
"Morgan Stanley",328451,24
"Carpenters & Joiners Union",325000,58
"Stephens Inc",323375,10
"Energy Transfer Partners",319394,13
"AFLAC Inc",314505,22
"Prudential Financial",307170,20
"American Federation of Teachers",299527,56
"Credit Union National Assn",299100,46
"Centene Corp",293748,4
"Greenberg Traurig LLP",293738,10
"American Airlines",293105,7
"Pfizer Inc",292677,16
"GEO Group",287200,11
"Sheet Metal, Air, Rail & Transportation Union",286000,51
"MacAndrews & Forbes",283550,15
"University of Michigan",282280,5
"Show Me Institute",279708,33
"Operating Engineers Union",266500,48
"Apollo Management",260900,8
"International Brotherhood of Electrical Workers",260540,42
"Apollo Global Management",260150,6
"Altria Group",256351,13
"Cox Enterprises",256100,25
"Council of Insurance Agents & Brokers",252000,34
"Apple Inc",251928,4
"KKR & Co",251369,7
"Kirkland & Ellis",246468,10
"UNITE HERE",243500,29
"National Beer Wholesalers Assn",239000,47
"National Auto Dealers Assn",238500,38
